subject,condition,phase,feature_type,body_part,channel,type,metric,axis,data
VP_01,ftsst,talk,generic,LeftHand,vel,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,14.604916128913796
VP_01,ftsst,talk,generic,LeftHand,vel,fft_aggregated_skew,fft_aggregated_skew,norm,2.8760804970627007
VP_01,ftsst,talk,generic,LeftHand,vel,fft_aggregated_variance,fft_aggregated_variance,norm,1451387.3468971676
VP_01,ftsst,talk,generic,LeftHand,vel,max_val,max_val,norm,0.4995179307222114
VP_01,ftsst,talk,generic,LeftHand,vel,mean,mean,norm,0.04156201016163381
VP_01,ftsst,talk,generic,LeftHand,vel,mean,mean,x,-9.603710904949737e-05
VP_01,ftsst,talk,generic,LeftHand,vel,mean,mean,y,6.186606299650034e-05
VP_01,ftsst,talk,generic,LeftHand,vel,mean,mean,z,-3.310849397255711e-05
VP_01,ftsst,talk,generic,LeftHand,vel,mean_crossing,mean_crossing,norm,667.0
VP_01,ftsst,talk,generic,LeftHand,vel,std,std,norm,0.04101876658464097
VP_01,ftsst,talk,generic,LeftHand,vel,std,std,x,0.03492254620612727
VP_01,ftsst,talk,generic,LeftHand,vel,std,std,y,0.037851713154630234
VP_01,ftsst,talk,generic,LeftHand,vel,std,std,z,0.0275243407156842
VP_01,ftsst,talk,generic,RightForeArm,acc,abs_energy,abs_energy,norm,3411.932989929613
VP_01,ftsst,talk,generic,RightForeArm,acc,cov,cov,norm,1.0181115449305669
VP_01,ftsst,talk,generic,RightForeArm,acc,entropy,entropy,norm,9.43168792752766
VP_01,ftsst,talk,generic,RightForeArm,acc,max_val,max_val,norm,4.1584071346481934
VP_01,ftsst,talk,generic,RightForeArm,acc,mean,mean,norm,0.30507335126739604
VP_01,ftsst,talk,generic,RightForeArm,acc,std,std,norm,0.3105987009759941
VP_01,ftsst,talk,generic,RightForeArm,gyr,abs_energy,abs_energy,norm,3460264.9586006072
VP_01,ftsst,talk,generic,RightForeArm,gyr,cov,cov,norm,0.9696501959309771
VP_01,ftsst,talk,generic,RightForeArm,gyr,entropy,entropy,norm,9.453572520141396
VP_01,ftsst,talk,generic,RightForeArm,gyr,max_val,max_val,norm,117.8783612068181
VP_01,ftsst,talk,generic,RightForeArm,gyr,mean,mean,norm,9.95361193535043
VP_01,ftsst,talk,generic,RightForeArm,gyr,std,std,norm,9.651521763333458
VP_01,ftsst,talk,generic,RightForeArm,vel,abs_energy,abs_energy,norm,41.773617861473
VP_01,ftsst,talk,generic,RightForeArm,vel,cov,cov,norm,0.8398141404438567
VP_01,ftsst,talk,generic,RightForeArm,vel,entropy,entropy,norm,9.49131354217102
VP_01,ftsst,talk,generic,RightForeArm,vel,max_val,max_val,norm,0.3155883111365185
VP_01,ftsst,talk,generic,RightForeArm,vel,mean,mean,norm,0.03688959502232808
VP_01,ftsst,talk,generic,RightForeArm,vel,std,std,norm,0.030980403534998435
VP_01,ftsst,talk,generic,RightHand,acc,abs_energy,abs_energy,norm,4021.9205101604216
VP_01,ftsst,talk,generic,RightHand,acc,abs_max,abs_max,x,2.724057
VP_01,ftsst,talk,generic,RightHand,acc,abs_max,abs_max,y,3.190905
VP_01,ftsst,talk,generic,RightHand,acc,abs_max,abs_max,z,4.166606
VP_01,ftsst,talk,generic,RightHand,acc,cov,cov,norm,1.0546007213589288
VP_01,ftsst,talk,generic,RightHand,acc,cov,cov,x,-89.51254715985878
VP_01,ftsst,talk,generic,RightHand,acc,cov,cov,y,-171.94037843068497
VP_01,ftsst,talk,generic,RightHand,acc,cov,cov,z,-178.71646331321546
VP_01,ftsst,talk,generic,RightHand,acc,entropy,entropy,norm,9.424497208979366
VP_01,ftsst,talk,generic,RightHand,acc,fft_aggregated_centroid,fft_aggregated_centroid,norm,2183.976096294937
VP_01,ftsst,talk,generic,RightHand,acc,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,6.3585551083142855
VP_01,ftsst,talk,generic,RightHand,acc,fft_aggregated_skew,fft_aggregated_skew,norm,1.1733888917174018
VP_01,ftsst,talk,generic,RightHand,acc,fft_aggregated_variance,fft_aggregated_variance,norm,4950162.311737277
VP_01,ftsst,talk,generic,RightHand,acc,max_val,max_val,norm,4.810487164819173
